"id_zona","sup_nieve","month"
"ZC1",15024.894950507836,"2018 ago."
"ZC1",9667.21314243008,"2018 sep."
"ZC1",3850.0631995786803,"2018 oct."
"ZC1",1149.925714351523,"2018 nov."
"ZC1",263.539587841479,"2018 dic."
"ZC1",78.4610885883954,"2019 ene."
"ZC1",410.77742494107355,"2019 feb."
"ZC1",243.72255860943852,"2019 mar."
"ZC1",674.5860222291413,"2019 abr."
"ZC1",3492.2806356155975,"2019 may."
"ZC1",7848.52994385884,"2019 jun."
"ZC1",4343.42652462251,"2019 jul."
"ZC1",1139.0756666724421,"2019 ago."
"ZC1",4185.069630397246,"2019 sep."
"ZC1",1459.2865779286249,"2019 oct."
"ZC1",212.24845335855076,"2019 nov."
"ZC1",35.8679262118379,"2019 dic."
"ZC1",51.201464667398604,"2020 ene."
"ZC1",81.06151323875366,"2020 feb."
"ZC1",990.7617917864924,"2020 mar."
"ZC1",112.17693922752302,"2020 abr."
"ZC1",50.66344577422103,"2020 may."
"ZC1",835.3640014737048,"2020 jun."
"ZC1",49.67707780339549,"2020 jul."
"ZC1",32.72948266830208,"2020 ago."
"ZC1",5923.049994991851,"2020 sep."
"ZC1",1277.2568524035476,"2020 oct."
"ZC1",224.53321808610525,"2020 nov."
"ZC1",45.37292665797494,"2020 dic."
"ZC1",38.10967160007777,"2021 ene."
"ZC1",31.02575617323978,"2021 feb."
"ZC1",39.90306791066966,"2021 mar."
"ZC1",26.004246503582475,"2021 abr."
"ZC1",82.22722084063838,"2021 may."
"ZC1",13448.947942575209,"2021 jun."
"ZC1",8360.903269794944,"2021 jul."
"ZC1",9500.965304438212,"2021 ago."
"ZC1",2511.830872615008,"2021 sep."
"ZC1",1358.3183656423012,"2021 oct."
"ZC1",422.16549151333203,"2021 nov."
"ZC1",157.37052625443877,"2021 dic."
"ZC1",204.895528485124,"2022 ene."
"ZC1",85.90368327735177,"2022 feb."
"ZC1",493.99101375253747,"2022 mar."
"ZC1",111.99759959646384,"2022 abr."
"ZC1",72.09453168579418,"2022 may."
"ZC1",3142.8373644967664,"2022 jun."
"ZC1",7303.247795623373,"2022 jul."
"ZC1",2640.0587088223288,"2022 ago."
"ZC1",1421.2665761440767,"2022 sep."
"ZC1",670.1922012681912,"2022 oct."
"ZC1",228.92703904705536,"2022 nov."
"ZC1",66.80401256954808,"2022 dic."
"ZC1",54.78825728858239,"2023 ene."
"ZC1",1769.9028189231412,"2023 feb."
"ZC1",509.50389183915735,"2023 mar."
"ZC1",408.98402863048165,"2023 abr."
"ZC1",1346.2129405458058,"2023 may."
"ZC1",652.078898531213,"2023 jun."
"ZC1",256.45567241464096,"2023 jul."
"ZC1",133.78736477015536,"2023 ago."
"ZC1",74.78462615168202,"2023 sep."
"ZC1",48.42170038598116,"2023 oct."
"ZC1",50.75311558975063,"2023 nov."
"ZC1",26.63193521228964,"2023 dic."
"ZC1",29.59103912476627,"2024 ene."
"ZC1",800.9307923103403,"2024 feb."
"ZC1",48.06302112386278,"2024 mar."
"ZC1",2710.9875329062384,"2024 abr."
"ZC1",2109.9307594113643,"2024 may."
"ZC1",1042.7702847936573,"2024 jun."
"ZC1",644.0086151335495,"2024 jul."
"ZC1",454.6259647350454,"2024 ago."
"ZC1",205.88189645594952,"2024 sep."
"ZC1",1279.0502487141393,"2024 oct."
"ZC1",81.7788717629904,"2024 nov."
"ZC1",18.651321630155707,"2024 dic."
"ZC1",39.45471883302169,"2025 ene."
"ZC1",34.612548794423574,"2025 feb."
"ZC1",30.308397649003027,"2025 mar."
"ZC2",1356.193380812147,"1986 ene."
"ZC2",45.18277463237223,"1986 feb."
"ZC2",54.23708310487118,"1986 mar."
"ZC2",49.17732248788648,"1986 abr."
"ZC2",133.59543383442085,"1986 may."
"ZC2",1209.9929293003258,"1986 jul."
"ZC2",2204.90164851374,"1986 ago."
"ZC2",804.857009021059,"1986 sep."
"ZC2",150.81637347819336,"1986 oct."
"ZC2",256.27243686376943,"1986 nov."
"ZC2",44.91647144200461,"1986 dic."
"ZC2",45.18277463237223,"1987 ene."
"ZC2",48.20087745653855,"1987 mar."
"ZC2",275.4462665702378,"1987 oct."
"ZC2",121.43425480763302,"1987 nov."
"ZC2",25.83140946565878,"1988 ene."
"ZC2",33.73173744656473,"1988 feb."
"ZC2",47.4019678854357,"1988 mar."
"ZC2",170.25650637502935,"1988 may."
"ZC2",190.40678111284564,"1988 jun."
"ZC2",360.7520552179975,"1988 jul."
"ZC2",63.46892703761522,"1988 ago."
"ZC2",42.96358137930876,"1988 sep."
"ZC2",97.02312902393487,"1988 oct."
"ZC2",29.204583210315253,"1988 nov."
"ZC2",30.536099162153334,"1988 dic."
"ZC2",32.045150574236494,"1989 ene."
"ZC2",46.78059377457793,"1989 mar."
"ZC2",308.0240235252095,"1989 abr."
"ZC2",217.74724199058758,"1989 may."
"ZC2",1043.8197385109333,"1989 jun."
"ZC2",294.70886400682866,"1989 jul."
"ZC2",95.9579162624644,"1989 ago."
"ZC2",48.82225156739632,"1989 sep."
"ZC2",31.690079653746338,"1989 oct."
"ZC2",31.867615113991416,"1989 nov."
"ZC2",32.22268603448157,"1989 dic."
"ZC2",51.66281893131756,"1990 ene."
"ZC2",45.71538101310746,"1990 feb."
"ZC2",730.8247220988616,"1990 mar."
"ZC2",81.04493760187789,"1990 abr."
"ZC2",2265.5300081874343,"1990 jun."
"ZC2",1386.285641323688,"1990 jul."
"ZC2",533.2277548460904,"1990 ago."
"ZC2",203.1893342504912,"1990 sep."
"ZC2",121.78932572812319,"1990 oct."
"ZC2",53.52694126389087,"1990 nov."
"ZC2",41.80960088771576,"1990 dic."
"ZC2",51.7515866614401,"1991 ene."
"ZC2",49.17732248788648,"1991 feb."
"ZC2",55.21352813621911,"1991 mar."
"ZC2",72.43446777999162,"1991 abr."
"ZC2",122.67700302934857,"1991 may."
"ZC2",202.74549559987852,"1991 jun."
"ZC2",356.49120417211566,"1991 ago."
"ZC2",183.3941304331651,"1991 sep."
"ZC2",195.91038038044303,"1991 oct."
"ZC2",66.93086851239423,"1991 nov."
"ZC2",63.82399795810537,"1991 dic."
"ZC2",36.83860800085358,"1992 ene."
"ZC2",199.81616050583474,"1992 abr."
"ZC2",964.195084591016,"1992 jun."
"ZC2",1317.1355795582301,"1992 jul."
"ZC2",668.5097755528394,"1992 ago."
"ZC2",195.02270307921768,"1992 sep."
"ZC2",113.17885590623692,"1992 oct."
"ZC2",49.62116113849917,"1992 nov."
"ZC2",41.27699450698052,"1992 dic."
"ZC2",42.78604591906368,"1993 ene."
"ZC2",46.51429058421031,"1993 feb."
"ZC2",162.44494612424594,"1993 mar."
"ZC2",77.22792520660872,"1993 abr."
