fecha,nieve_original,nieve_transformada,nieve_estacionaria,savi_original,savi_transformada,savi_estacionaria,agua_original,agua_transformada,agua_estacionaria
2003-05-01,6104.539000111672,8.716951670954202,8.716951670954202,,,,,,
2003-06-01,7287.392060605271,8.894038232855838,8.894038232855838,,,,,,
2003-07-01,11862.140328786129,9.381191420705708,9.381191420705708,,,,,,
2003-08-01,22364.22908265388,10.015262758723226,10.015262758723226,,,,,,
2003-09-01,6253.492214910742,8.741055238935937,8.741055238935937,,,,,,
2003-10-01,2545.63312162406,7.842527421268554,7.842527421268554,,,,,,
2003-11-01,677.7123851708733,6.520197451916387,6.520197451916387,,,,,,
2003-12-01,255.7775311955932,5.548210072643602,5.548210072643602,,,,,,
2004-01-01,195.4794146031318,5.280557665532168,5.280557665532168,,,,,,
2004-02-01,454.91282361405786,6.12230161495291,6.12230161495291,,,,,,
2004-03-01,312.4254399772915,5.747561500773271,5.747561500773271,,,,,,
2004-04-01,608.9614013964103,6.413395678765994,6.413395678765994,,,,,,
2004-05-01,831.9902745157733,6.725021966847514,6.725021966847514,,,,,,
2004-06-01,784.8875138022466,6.666813669976795,6.666813669976795,,,,,,
2004-07-01,5226.083285538095,8.561608712302855,8.561608712302855,,,,,,
2004-08-01,17687.303306252332,9.780658869962195,9.780658869962195,,,,,,
2004-09-01,12821.173296772748,9.458931240036335,9.458931240036335,,,,,,
2004-10-01,2833.634638290307,7.949668332474099,7.949668332474099,,,,,,
2004-11-01,876.7363449082391,6.777346258001572,6.777346258001572,,,,,,
2004-12-01,363.6412021434201,5.89891386228719,5.89891386228719,,,,,,
2005-01-01,4428.226993455983,8.395980354236878,8.395980354236878,,,,,,
2005-02-01,606.3546622148178,6.409112907439889,6.409112907439889,,,,,,
2005-03-01,2482.320911182095,7.8173520204844325,7.8173520204844325,,,,,,
2005-04-01,1461.046834535164,7.287592674362403,7.287592674362403,,,,,,
2005-05-01,47816.67322688684,10.775150582925285,10.775150582925285,,,,,,
2005-06-01,12718.79326352262,9.450914583894315,9.450914583894315,,,,,,
2005-07-01,5622.368311330404,8.634686107006159,8.634686107006159,,,,,,
2005-08-01,2474.717433720306,7.814285505208184,7.814285505208184,,,,,,
2005-09-01,41152.66086570491,10.625068166077806,10.625068166077806,,,,,,
2005-10-01,12052.573107236492,9.397116418386535,9.397116418386535,,,,,,
